#date-time(UTC) LST Az(deg) El(deg) sec(z)

2015/10/08-06:30:00 01:41:19 -127.8602 18.2069 3.2005
2015/10/08-06:35:00 01:46:20 -126.8406 17.4656 3.3318
2015/10/08-06:40:00 01:51:20 -125.8331 16.7145 3.4770
2015/10/08-06:45:00 01:56:21 -124.8375 15.9538 3.6382
2015/10/08-06:50:00 02:01:22 -123.8533 15.1838 3.8180
2015/10/08-06:55:00 02:06:23 -122.8803 14.4051 4.0197
2015/10/08-07:00:00 02:11:24 -121.9180 13.6177 4.2473
2015/10/08-07:05:00 02:16:24 -120.9661 12.8221 4.5060
2015/10/08-07:10:00 02:21:25 -120.0243 12.0186 4.8024
2015/10/08-07:15:00 02:26:26 -119.0922 11.2075 5.1450
2015/10/08-07:20:00 02:31:27 -118.1694 10.3890 5.5454

