#date-time(UTC) LST Az(deg) El(deg) sec(z)

2015/10/08-02:45:00 21:55:43  +76.5121 84.5020 1.0046
2015/10/08-02:50:00 22:00:44  +74.7278 85.4053 1.0032
2015/10/08-02:55:00 22:05:45  +71.8711 86.2987 1.0021
2015/10/08-03:00:00 22:10:46  +66.9599 87.1725 1.0012
2015/10/08-03:05:00 22:15:47  +57.4737 88.0006 1.0006
2015/10/08-03:10:00 22:20:48  +36.0454 88.6928 1.0003
2015/10/08-03:15:00 22:25:48   -7.9789 88.9373 1.0002
2015/10/08-03:20:00 22:30:49  -45.0778 88.4970 1.0003
2015/10/08-03:25:00 22:35:50  -61.3144 87.7422 1.0008
2015/10/08-03:30:00 22:40:51  -68.8671 86.8944 1.0015
2015/10/08-03:35:00 22:45:52  -72.9506 86.0127 1.0024
2015/10/08-03:40:00 22:50:53  -75.3911 85.1154 1.0036
2015/10/08-03:45:00 22:55:53  -76.9395 84.2100 1.0051
2015/10/08-03:50:00 23:00:54  -77.9534 83.3000 1.0069
2015/10/08-03:55:00 23:05:55  -78.6228 82.3871 1.0089
2015/10/08-04:00:00 23:10:56  -79.0574 81.4724 1.0112
2015/10/08-04:05:00 23:15:57  -79.3252 80.5567 1.0137
2015/10/08-04:10:00 23:20:57  -79.4700 79.6403 1.0166
2015/10/08-04:15:00 23:25:58  -79.5216 78.7237 1.0197
2015/10/08-04:20:00 23:30:59  -79.5007 77.8070 1.0231
2015/10/08-04:25:00 23:36:00  -79.4224 76.8905 1.0268
2015/10/08-04:30:00 23:41:01  -79.2978 75.9743 1.0307
2015/10/08-04:35:00 23:46:02  -79.1352 75.0585 1.0350
2015/10/08-04:40:00 23:51:02  -78.9410 74.1433 1.0396
2015/10/08-04:45:00 23:56:03  -78.7201 73.2287 1.0444
2015/10/08-04:50:00 00:01:04  -78.4765 72.3148 1.0496
2015/10/08-04:55:00 00:06:05  -78.2134 71.4018 1.0551
2015/10/08-05:00:00 00:11:06  -77.9334 70.4897 1.0609
2015/10/08-05:05:00 00:16:06  -77.6384 69.5785 1.0671
2015/10/08-05:10:00 00:21:07  -77.3302 68.6685 1.0735
2015/10/08-05:15:00 00:26:08  -77.0103 67.7595 1.0804
2015/10/08-05:20:00 00:31:09  -76.6798 66.8517 1.0876
2015/10/08-05:25:00 00:36:10  -76.3396 65.9452 1.0951
2015/10/08-05:30:00 00:41:11  -75.9908 65.0400 1.1030
2015/10/08-05:35:00 00:46:11  -75.6338 64.1362 1.1113
2015/10/08-05:40:00 00:51:12  -75.2695 63.2338 1.1200
2015/10/08-05:45:00 00:56:13  -74.8982 62.3330 1.1291
2015/10/08-05:50:00 01:01:14  -74.5204 61.4338 1.1386
2015/10/08-05:55:00 01:06:15  -74.1366 60.5362 1.1485
2015/10/08-06:00:00 01:11:16  -73.7470 59.6403 1.1589
2015/10/08-06:05:00 01:16:16  -73.3518 58.7463 1.1698
2015/10/08-06:10:00 01:21:17  -72.9515 57.8540 1.1811
2015/10/08-06:15:00 01:26:18  -72.5461 56.9637 1.1929
2015/10/08-06:20:00 01:31:19  -72.1358 56.0754 1.2051
2015/10/08-06:25:00 01:36:20  -71.7208 55.1892 1.2180
2015/10/08-06:30:00 01:41:20  -71.3012 54.3051 1.2313
2015/10/08-06:35:00 01:46:21  -70.8771 53.4231 1.2452
2015/10/08-06:40:00 01:51:22  -70.4486 52.5435 1.2597
2015/10/08-06:45:00 01:56:23  -70.0158 51.6662 1.2748
2015/10/08-06:50:00 02:01:24  -69.5788 50.7913 1.2906
2015/10/08-06:55:00 02:06:25  -69.1375 49.9189 1.3070
2015/10/08-07:00:00 02:11:25  -68.6921 49.0491 1.3240
2015/10/08-07:05:00 02:16:26  -68.2426 48.1819 1.3418
2015/10/08-07:10:00 02:21:27  -67.7889 47.3175 1.3603
2015/10/08-07:15:00 02:26:28  -67.3311 46.4558 1.3796
2015/10/08-07:20:00 02:31:29  -66.8693 45.5970 1.3997
2015/10/08-07:25:00 02:36:29  -66.4033 44.7412 1.4206
2015/10/08-07:30:00 02:41:30  -65.9332 43.8885 1.4425
2015/10/08-07:35:00 02:46:31  -65.4590 43.0389 1.4652
2015/10/08-07:40:00 02:51:32  -64.9806 42.1925 1.4889
2015/10/08-07:45:00 02:56:33  -64.4980 41.3494 1.5137
2015/10/08-07:50:00 03:01:34  -64.0113 40.5097 1.5395
2015/10/08-07:55:00 03:06:34  -63.5204 39.6735 1.5664
2015/10/08-08:00:00 03:11:35  -63.0251 38.8408 1.5945
2015/10/08-08:05:00 03:16:36  -62.5256 38.0119 1.6238
2015/10/08-08:10:00 03:21:37  -62.0217 37.1867 1.6545
2015/10/08-08:15:00 03:26:38  -61.5135 36.3653 1.6865
2015/10/08-08:20:00 03:31:39  -61.0008 35.5480 1.7200
2015/10/08-08:25:00 03:36:39  -60.4836 34.7346 1.7551
2015/10/08-08:30:00 03:41:40  -59.9620 33.9255 1.7917
2015/10/08-08:35:00 03:46:41  -59.4357 33.1206 1.8301
2015/10/08-08:40:00 03:51:42  -58.9048 32.3201 1.8704
2015/10/08-08:45:00 03:56:43  -58.3692 31.5241 1.9126
2015/10/08-08:50:00 04:01:43  -57.8288 30.7326 1.9568
2015/10/08-08:55:00 04:06:44  -57.2837 29.9459 2.0033
2015/10/08-09:00:00 04:11:45  -56.7336 29.1640 2.0521
2015/10/08-09:05:00 04:16:46  -56.1787 28.3870 2.1034
2015/10/08-09:10:00 04:21:47  -55.6187 27.6151 2.1574
2015/10/08-09:15:00 04:26:48  -55.0537 26.8483 2.2142
2015/10/08-09:20:00 04:31:48  -54.4836 26.0868 2.2741
2015/10/08-09:25:00 04:36:49  -53.9083 25.3308 2.3373
2015/10/08-09:30:00 04:41:50  -53.3278 24.5802 2.4040
2015/10/08-09:35:00 04:46:51  -52.7419 23.8354 2.4746
2015/10/08-09:40:00 04:51:52  -52.1507 23.0963 2.5492
2015/10/08-09:45:00 04:56:52  -51.5541 22.3632 2.6283
2015/10/08-09:50:00 05:01:53  -50.9519 21.6361 2.7122
2015/10/08-09:55:00 05:06:54  -50.3442 20.9152 2.8012
2015/10/08-10:00:00 05:11:55  -49.7309 20.2007 2.8960
