#date-time(UTC) LST Az(deg) El(deg) sec(z)

2015/10/08-08:35:00 03:46:39 -137.6727 62.7355 1.1250
2015/10/08-08:40:00 03:51:40 -135.5381 62.0948 1.1316
2015/10/08-08:45:00 03:56:41 -133.4832 61.4298 1.1387
2015/10/08-08:50:00 04:01:42 -131.5052 60.7421 1.1462
2015/10/08-08:55:00 04:06:43 -129.6009 60.0336 1.1543
2015/10/08-09:00:00 04:11:43 -127.7671 59.3057 1.1629
2015/10/08-09:05:00 04:16:44 -126.0005 58.5598 1.1721
2015/10/08-09:10:00 04:21:45 -124.2978 57.7973 1.1818
2015/10/08-09:15:00 04:26:46 -122.6556 57.0195 1.1921
2015/10/08-09:20:00 04:31:47 -121.0708 56.2275 1.2030
2015/10/08-09:25:00 04:36:47 -119.5402 55.4224 1.2145
2015/10/08-09:30:00 04:41:48 -118.0607 54.6052 1.2267
2015/10/08-09:35:00 04:46:49 -116.6294 53.7769 1.2396
2015/10/08-09:40:00 04:51:50 -115.2434 52.9383 1.2532
2015/10/08-09:45:00 04:56:51 -113.9002 52.0903 1.2675
2015/10/08-09:50:00 05:01:52 -112.5972 51.2335 1.2825
2015/10/08-09:55:00 05:06:52 -111.3320 50.3687 1.2984
2015/10/08-10:00:00 05:11:53 -110.1022 49.4965 1.3152
