#date-time(UTC) LST Az(deg) El(deg) sec(z)
2015/10/07-21:30:00 16:39:52 -120.7740 27.0520 2.1988
2015/10/07-21:35:00 16:44:53 -119.7006 26.2466 2.2612
2015/10/07-21:40:00 16:49:53 -118.6427 25.4326 2.3286
2015/10/07-21:45:00 16:54:54 -117.5997 24.6104 2.4013
2015/10/07-21:50:00 16:59:55 -116.5711 23.7804 2.4800
2015/10/07-21:55:00 17:04:56 -115.5563 22.9430 2.5653
2015/10/07-22:00:00 17:09:57 -114.5547 22.0985 2.6582
2015/10/07-22:05:00 17:14:57 -113.5658 21.2472 2.7594
2015/10/07-22:10:00 17:19:58 -112.5890 20.3896 2.8703
2015/10/07-22:15:00 17:24:59 -111.6237 19.5259 2.9919
2015/10/07-22:20:00 17:30:00 -110.6694 18.6564 3.1261
2015/10/07-22:25:00 17:35:01 -109.7256 17.7815 3.2745
2015/10/07-22:30:00 17:40:02 -108.7917 16.9014 3.4397
2015/10/07-22:35:00 17:45:02 -107.8673 16.0165 3.6243
2015/10/07-22:40:00 17:50:03 -106.9516 15.1270 3.8320
2015/10/07-22:45:00 17:55:04 -106.0444 14.2331 4.0672
2015/10/07-22:50:00 18:00:05 -105.1451 13.3352 4.3356
2015/10/07-22:55:00 18:05:06 -104.2531 12.4335 4.6445
2015/10/07-23:00:00 18:10:07 -103.3680 11.5282 5.0037
2015/10/07-23:05:00 18:15:07 -102.4893 10.6196 5.4263

