#date-time(UTC) LST Az(deg) El(deg) sec(z)
2015/10/08-09:05:00 04:16:44 +172.2564 65.9032 1.0955
2015/10/08-09:10:00 04:21:45 +175.1715 66.0053 1.0946
2015/10/08-09:15:00 04:26:46 +178.1033 66.0600 1.0941
2015/10/08-09:20:00 04:31:47 -178.9583 66.0670 1.0941
2015/10/08-09:25:00 04:36:47 -176.0236 66.0262 1.0944
2015/10/08-09:30:00 04:41:48 -173.1026 65.9378 1.0952
2015/10/08-09:35:00 04:46:49 -170.2053 65.8024 1.0963
2015/10/08-09:40:00 04:51:50 -167.3407 65.6208 1.0979
2015/10/08-09:45:00 04:56:51 -164.5175 65.3941 1.0999
2015/10/08-09:50:00 05:01:52 -161.7433 65.1234 1.1023
2015/10/08-09:55:00 05:06:52 -159.0248 64.8103 1.1051
2015/10/08-10:00:00 05:11:53 -156.3675 64.4564 1.1083
