#date-time(UTC) LST Az(deg) El(deg) sec(z)
2015/10/07-21:30:00 16:39:52  +27.0628 42.2342 1.4877
2015/10/07-21:35:00 16:44:53  +27.1417 42.6589 1.4757
2015/10/07-21:40:00 16:49:53  +27.2096 43.0847 1.4640
2015/10/07-21:45:00 16:54:54  +27.2665 43.5114 1.4524
2015/10/07-21:50:00 16:59:55  +27.3119 43.9388 1.4412
2015/10/07-21:55:00 17:04:56  +27.3457 44.3668 1.4301
2015/10/07-22:00:00 17:09:57  +27.3676 44.7952 1.4193
2015/10/07-22:05:00 17:14:57  +27.3773 45.2238 1.4087
2015/10/07-22:10:00 17:19:58  +27.3746 45.6525 1.3984
2015/10/07-22:15:00 17:24:59  +27.3591 46.0811 1.3883
2015/10/07-22:20:00 17:30:00  +27.3306 46.5093 1.3784
2015/10/07-22:25:00 17:35:01  +27.2887 46.9370 1.3687
2015/10/07-22:30:00 17:40:02  +27.2332 47.3640 1.3593
2015/10/07-22:35:00 17:45:02  +27.1637 47.7902 1.3501
2015/10/07-22:40:00 17:50:03  +27.0800 48.2152 1.3411
2015/10/07-22:45:00 17:55:04  +26.9817 48.6389 1.3323
2015/10/07-22:50:00 18:00:05  +26.8684 49.0610 1.3238
2015/10/07-22:55:00 18:05:06  +26.7398 49.4814 1.3155
2015/10/07-23:00:00 18:10:07  +26.5957 49.8998 1.3073
2015/10/07-23:05:00 18:15:07  +26.4356 50.3161 1.2994
2015/10/07-23:10:00 18:20:08  +26.2592 50.7298 1.2917
2015/10/07-23:15:00 18:25:09  +26.0661 51.1409 1.2842
2015/10/07-23:20:00 18:30:10  +25.8561 51.5490 1.2769
2015/10/07-23:25:00 18:35:11  +25.6287 51.9539 1.2698
2015/10/07-23:30:00 18:40:11  +25.3836 52.3554 1.2629
2015/10/07-23:35:00 18:45:12  +25.1205 52.7531 1.2562
2015/10/07-23:40:00 18:50:13  +24.8390 53.1468 1.2497
2015/10/07-23:45:00 18:55:14  +24.5387 53.5362 1.2434
2015/10/07-23:50:00 19:00:15  +24.2194 53.9210 1.2373
2015/10/07-23:55:00 19:05:16  +23.8807 54.3010 1.2314
2015/10/08-00:00:00 19:10:16  +23.5224 54.6757 1.2257
2015/10/08-00:05:00 19:15:17  +23.1440 55.0450 1.2201
2015/10/08-00:10:00 19:20:18  +22.7454 55.4084 1.2147
2015/10/08-00:15:00 19:25:19  +22.3263 55.7658 1.2096
2015/10/08-00:20:00 19:30:20  +21.8865 56.1166 1.2046
2015/10/08-00:25:00 19:35:20  +21.4257 56.4607 1.1998
2015/10/08-00:30:00 19:40:21  +20.9438 56.7976 1.1951
2015/10/08-00:35:00 19:45:22  +20.4407 57.1270 1.1907
2015/10/08-00:40:00 19:50:23  +19.9161 57.4486 1.1864
2015/10/08-00:45:00 19:55:24  +19.3702 57.7620 1.1823
2015/10/08-00:50:00 20:00:25  +18.8028 58.0669 1.1783
2015/10/08-00:55:00 20:05:25  +18.2140 58.3628 1.1746
2015/10/08-01:00:00 20:10:26  +17.6039 58.6495 1.1710
2015/10/08-01:05:00 20:15:27  +16.9727 58.9266 1.1675
2015/10/08-01:10:00 20:20:28  +16.3205 59.1937 1.1643
2015/10/08-01:15:00 20:25:29  +15.6476 59.4504 1.1612
2015/10/08-01:20:00 20:30:30  +14.9544 59.6964 1.1583
2015/10/08-01:25:00 20:35:30  +14.2413 59.9314 1.1555
2015/10/08-01:30:00 20:40:31  +13.5088 60.1550 1.1529
2015/10/08-01:35:00 20:45:32  +12.7574 60.3668 1.1505
2015/10/08-01:40:00 20:50:33  +11.9880 60.5666 1.1482
2015/10/08-01:45:00 20:55:34  +11.2011 60.7540 1.1461
2015/10/08-01:50:00 21:00:34  +10.3976 60.9287 1.1441
2015/10/08-01:55:00 21:05:35   +9.5784 61.0904 1.1424
2015/10/08-02:00:00 21:10:36   +8.7445 61.2389 1.1407
2015/10/08-02:05:00 21:15:37   +7.8970 61.3738 1.1393
2015/10/08-02:10:00 21:20:38   +7.0371 61.4949 1.1379
2015/10/08-02:15:00 21:25:39   +6.1658 61.6021 1.1368
2015/10/08-02:20:00 21:30:39   +5.2846 61.6951 1.1358
2015/10/08-02:25:00 21:35:40   +4.3947 61.7738 1.1350
2015/10/08-02:30:00 21:40:41   +3.4975 61.8380 1.1343
2015/10/08-02:35:00 21:45:42   +2.5946 61.8875 1.1338
2015/10/08-02:40:00 21:50:43   +1.6873 61.9223 1.1334
2015/10/08-02:45:00 21:55:43   +0.7772 61.9424 1.1332
2015/10/08-02:50:00 22:00:44   -0.1342 61.9476 1.1331
2015/10/08-02:55:00 22:05:45   -1.0454 61.9380 1.1332
2015/10/08-03:00:00 22:10:46   -1.9549 61.9136 1.1335
2015/10/08-03:05:00 22:15:47   -2.8610 61.8744 1.1339
2015/10/08-03:10:00 22:20:48   -3.7624 61.8206 1.1345
2015/10/08-03:15:00 22:25:48   -4.6576 61.7521 1.1352
2015/10/08-03:20:00 22:30:49   -5.5451 61.6692 1.1361
2015/10/08-03:25:00 22:35:50   -6.4235 61.5720 1.1371
2015/10/08-03:30:00 22:40:51   -7.2916 61.4607 1.1383
2015/10/08-03:35:00 22:45:52   -8.1480 61.3355 1.1397
2015/10/08-03:40:00 22:50:53   -8.9916 61.1965 1.1412
2015/10/08-03:45:00 22:55:53   -9.8212 61.0441 1.1429
2015/10/08-03:50:00 23:00:54  -10.6359 60.8786 1.1447
