#date-time(UTC) LST Az(deg) El(deg) sec(z) RA(hh:mm:ss.s) Dec(dd:mm:ss)
2015/11/08-14:05:00 11:19:48 -178.6080 53.8302 1.2387 +11:16:30.2 +05:47:07
2015/11/08-14:10:00 11:24:49 -176.4979 53.7902 1.2394 +11:16:30.4 +05:47:07
2015/11/08-14:15:00 11:29:50 -174.3933 53.7160 1.2406 +11:16:30.5 +05:47:06
2015/11/08-14:20:00 11:34:51 -172.2975 53.6078 1.2423 +11:16:30.6 +05:47:05
2015/11/08-14:25:00 11:39:52 -170.2136 53.4659 1.2446 +11:16:30.7 +05:47:05
2015/11/08-14:30:00 11:44:53 -168.1446 53.2907 1.2474 +11:16:30.8 +05:47:04
2015/11/08-14:35:00 11:49:53 -166.0933 53.0828 1.2508 +11:16:31.0 +05:47:03
2015/11/08-14:40:00 11:54:54 -164.0625 52.8426 1.2547 +11:16:31.1 +05:47:02
2015/11/08-14:45:00 11:59:55 -162.0546 52.5709 1.2593 +11:16:31.2 +05:47:02
2015/11/08-14:50:00 12:04:56 -160.0718 52.2682 1.2644 +11:16:31.3 +05:47:01
2015/11/08-14:55:00 12:09:57 -158.1160 51.9355 1.2701 +11:16:31.5 +05:47:00
2015/11/08-15:00:00 12:14:57 -156.1890 51.5735 1.2765 +11:16:31.6 +05:46:59
