#date-time(UTC) LST Az(deg) El(deg) sec(z)

2015/10/08-00:50:00 20:00:25  +76.6002 84.4451 1.0047
2015/10/08-00:55:00 20:05:25  +74.8651 85.3488 1.0033
2015/10/08-01:00:00 20:10:26  +72.0963 86.2430 1.0022
2015/10/08-01:05:00 20:15:27  +67.3630 87.1185 1.0013
2015/10/08-01:10:00 20:20:28  +58.3016 87.9510 1.0006
2015/10/08-01:15:00 20:25:29  +38.0138 88.6575 1.0003
2015/10/08-01:20:00 20:30:30   -4.8851 88.9439 1.0002
2015/10/08-01:25:00 20:35:30  -43.5113 88.5379 1.0003
2015/10/08-01:30:00 20:40:31  -60.6383 87.7934 1.0007
2015/10/08-01:35:00 20:45:32  -68.5242 86.9490 1.0014
2015/10/08-01:40:00 20:50:33  -72.7538 86.0686 1.0024
2015/10/08-01:45:00 20:55:34  -75.2692 85.1721 1.0036
2015/10/08-01:50:00 21:00:34  -76.8606 84.2671 1.0050
2015/10/08-01:55:00 21:05:35  -77.9013 83.3572 1.0068
2015/10/08-02:00:00 21:10:36  -78.5885 82.4445 1.0088
2015/10/08-02:05:00 21:15:37  -79.0356 81.5299 1.0110
2015/10/08-02:10:00 21:20:38  -79.3124 80.6142 1.0136
2015/10/08-02:15:00 21:25:39  -79.4639 79.6979 1.0164
2015/10/08-02:20:00 21:30:39  -79.5206 78.7813 1.0195
2015/10/08-02:25:00 21:35:40  -79.5038 77.8646 1.0229
2015/10/08-02:30:00 21:40:41  -79.4288 76.9480 1.0265
2015/10/08-02:35:00 21:45:42  -79.3068 76.0318 1.0305
2015/10/08-02:40:00 21:50:43  -79.1464 75.1160 1.0347
2015/10/08-02:45:00 21:55:43  -78.9540 74.2007 1.0393
2015/10/08-02:50:00 22:00:44  -78.7347 73.2861 1.0441
2015/10/08-02:55:00 22:05:45  -78.4924 72.3722 1.0493
2015/10/08-03:00:00 22:10:46  -78.2305 71.4591 1.0547
2015/10/08-03:05:00 22:15:47  -77.9514 70.5469 1.0605
2015/10/08-03:10:00 22:20:48  -77.6573 69.6357 1.0667
2015/10/08-03:15:00 22:25:48  -77.3500 68.7256 1.0731
2015/10/08-03:20:00 22:30:49  -77.0307 67.8165 1.0799
2015/10/08-03:25:00 22:35:50  -76.7008 66.9087 1.0871
2015/10/08-03:30:00 22:40:51  -76.3613 66.0021 1.0946
2015/10/08-03:35:00 22:45:52  -76.0129 65.0968 1.1025
2015/10/08-03:40:00 22:50:53  -75.6565 64.1929 1.1108
2015/10/08-03:45:00 22:55:53  -75.2926 63.2905 1.1194
2015/10/08-03:50:00 23:00:54  -74.9217 62.3895 1.1285
2015/10/08-03:55:00 23:05:55  -74.5444 61.4902 1.1380
2015/10/08-04:00:00 23:10:56  -74.1609 60.5925 1.1479
2015/10/08-04:05:00 23:15:57  -73.7716 59.6965 1.1583
2015/10/08-04:10:00 23:20:57  -73.3768 58.8024 1.1691
2015/10/08-04:15:00 23:25:58  -72.9768 57.9100 1.1803
2015/10/08-04:20:00 23:30:59  -72.5717 57.0196 1.1921
2015/10/08-04:25:00 23:36:00  -72.1617 56.1312 1.2044
2015/10/08-04:30:00 23:41:01  -71.7470 55.2448 1.2171
2015/10/08-04:35:00 23:46:02  -71.3276 54.3605 1.2305
2015/10/08-04:40:00 23:51:02  -70.9038 53.4785 1.2443
2015/10/08-04:45:00 23:56:03  -70.4756 52.5987 1.2588
2015/10/08-04:50:00 00:01:04  -70.0431 51.7212 1.2739
2015/10/08-04:55:00 00:06:05  -69.6064 50.8462 1.2896
2015/10/08-05:00:00 00:11:06  -69.1654 49.9736 1.3059
2015/10/08-05:05:00 00:16:06  -68.7202 49.1036 1.3229
2015/10/08-05:10:00 00:21:07  -68.2709 48.2363 1.3407
2015/10/08-05:15:00 00:26:08  -67.8175 47.3717 1.3591
2015/10/08-05:20:00 00:31:09  -67.3600 46.5098 1.3784
2015/10/08-05:25:00 00:36:10  -66.8984 45.6509 1.3984
2015/10/08-05:30:00 00:41:11  -66.4327 44.7949 1.4193
2015/10/08-05:35:00 00:46:11  -65.9628 43.9420 1.4411
2015/10/08-05:40:00 00:51:12  -65.4889 43.0921 1.4638
2015/10/08-05:45:00 00:56:13  -65.0107 42.2455 1.4874
2015/10/08-05:50:00 01:01:14  -64.5285 41.4022 1.5121
2015/10/08-05:55:00 01:06:15  -64.0420 40.5623 1.5378
2015/10/08-06:00:00 01:11:16  -63.5513 39.7259 1.5647
2015/10/08-06:05:00 01:16:16  -63.0564 38.8930 1.5927
2015/10/08-06:10:00 01:21:17  -62.5571 38.0638 1.6220
2015/10/08-06:15:00 01:26:18  -62.0535 37.2384 1.6525
2015/10/08-06:20:00 01:31:19  -61.5455 36.4168 1.6845
2015/10/08-06:25:00 01:36:20  -61.0331 35.5992 1.7179
2015/10/08-06:30:00 01:41:20  -60.5163 34.7856 1.7528
2015/10/08-06:35:00 01:46:21  -59.9949 33.9762 1.7894
2015/10/08-06:40:00 01:51:22  -59.4689 33.1710 1.8277
2015/10/08-06:45:00 01:56:23  -58.9383 32.3703 1.8678
2015/10/08-06:50:00 02:01:24  -58.4029 31.5739 1.9099
2015/10/08-06:55:00 02:06:25  -57.8629 30.7822 1.9540
2015/10/08-07:00:00 02:11:25  -57.3180 29.9952 2.0003
2015/10/08-07:05:00 02:16:26  -56.7683 29.2130 2.0489
2015/10/08-07:10:00 02:21:27  -56.2137 28.4357 2.1001
2015/10/08-07:15:00 02:26:28  -55.6540 27.6634 2.1539
2015/10/08-07:20:00 02:31:29  -55.0893 26.8963 2.2105
2015/10/08-07:25:00 02:36:29  -54.5196 26.1345 2.2703
2015/10/08-07:30:00 02:41:30  -53.9446 25.3781 2.3332
2015/10/08-07:35:00 02:46:31  -53.3644 24.6272 2.3997
2015/10/08-07:40:00 02:51:32  -52.7789 23.8820 2.4700
2015/10/08-07:45:00 02:56:33  -52.1880 23.1425 2.5444
2015/10/08-07:50:00 03:01:34  -51.5917 22.4090 2.6232
2015/10/08-07:55:00 03:06:34  -50.9899 21.6816 2.7067
2015/10/08-08:00:00 03:11:35  -50.3826 20.9603 2.7955
2015/10/08-08:05:00 03:16:36  -49.7696 20.2454 2.8898
2015/10/08-08:10:00 03:21:37  -49.1510 19.5369 2.9903
2015/10/08-08:15:00 03:26:38  -48.5266 18.8351 3.0975
2015/10/08-08:20:00 03:31:39  -47.8965 18.1400 3.2119
2015/10/08-08:25:00 03:36:39  -47.2604 17.4518 3.3344
2015/10/08-08:30:00 03:41:40  -46.6185 16.7707 3.4657
2015/10/08-08:35:00 03:46:41  -45.9706 16.0968 3.6067
2015/10/08-08:40:00 03:51:42  -45.3168 15.4302 3.7585
2015/10/08-08:45:00 03:56:43  -44.6568 14.7712 3.9222
2015/10/08-08:50:00 04:01:43  -43.9907 14.1198 4.0992
2015/10/08-08:55:00 04:06:44  -43.3185 13.4762 4.2911
2015/10/08-09:00:00 04:11:45  -42.6401 12.8407 4.4996
2015/10/08-09:05:00 04:16:46  -41.9554 12.2133 4.7270
2015/10/08-09:10:00 04:21:47  -41.2645 11.5943 4.9756
2015/10/08-09:15:00 04:26:48  -40.5672 10.9837 5.2485
2015/10/08-09:20:00 04:31:48  -39.8637 10.3818 5.5492

