#date-time(UTC) LST Az(deg) El(deg) sec(z)
2015/04/22-07:30:00 15:35:11  -87.5822 20.0725 2.9137
2015/04/22-07:35:00 15:40:12  -86.7610 19.1412 3.0497
2015/04/22-07:40:00 15:45:12  -85.9434 18.2106 3.1999
2015/04/22-07:45:00 15:50:13  -85.1291 17.2809 3.3664
2015/04/22-07:50:00 15:55:14  -84.3174 16.3524 3.5518
2015/04/22-07:55:00 16:00:15  -83.5080 15.4251 3.7597
2015/04/22-08:00:00 16:05:16  -82.7003 14.4994 3.9941
2015/04/22-08:05:00 16:10:16  -81.8940 13.5753 4.2603
2015/04/22-08:10:00 16:15:17  -81.0885 12.6531 4.5652
2015/04/22-08:15:00 16:20:18  -80.2836 11.7329 4.9176
2015/04/22-08:20:00 16:25:19  -79.4786 10.8149 5.3294

