#date-time(UTC) LST Az(deg) El(deg) sec(z)
2016/03/17-07:30:00 13:16:16  -72.5276 23.3408 2.5240
2016/03/17-07:35:00 13:21:17  -71.8103 22.4534 2.6183
2016/03/17-07:40:00 13:26:17  -71.0924 21.5696 2.7201
2016/03/17-07:45:00 13:31:18  -70.3734 20.6895 2.8304
2016/03/17-07:50:00 13:36:19  -69.6531 19.8135 2.9502
2016/03/17-07:55:00 13:41:20  -68.9311 18.9414 3.0807
2016/03/17-08:00:00 13:46:21  -68.2073 18.0737 3.2233
2016/03/17-08:05:00 13:51:21  -67.4812 17.2103 3.3798
2016/03/17-08:10:00 13:56:22  -66.7527 16.3514 3.5520
2016/03/17-08:15:00 14:01:23  -66.0213 15.4972 3.7426
2016/03/17-08:20:00 14:06:24  -65.2869 14.6479 3.9545
2016/03/17-08:25:00 14:11:25  -64.5493 13.8036 4.1912
2016/03/17-08:30:00 14:16:26  -63.8080 12.9644 4.4574
2016/03/17-08:35:00 14:21:26  -63.0629 12.1306 4.7587
2016/03/17-08:40:00 14:26:27  -62.3138 11.3023 5.1024
2016/03/17-08:45:00 14:31:28  -61.5603 10.4796 5.4979

