#date-time(UTC) LST Az(deg) El(deg) sec(z)
2016/03/17-07:30:00 13:16:16  -38.0683 12.8254 4.5049
2016/03/17-07:35:00 13:21:17  -37.3944 12.2549 4.7112
2016/03/17-07:40:00 13:26:17  -36.7143 11.6932 4.9341
2016/03/17-07:45:00 13:31:18  -36.0280 11.1403 5.1756
2016/03/17-07:50:00 13:36:19  -35.3355 10.5966 5.4380
2016/03/17-07:55:00 13:41:20  -34.6369 10.0620 5.7236

2016/03/17-15:05:00 20:52:30  +34.8937 10.2569 5.6160
2016/03/17-15:10:00 20:57:31  +35.5901 10.7948 5.3392
2016/03/17-15:15:00 21:02:32  +36.2803 11.3419 5.0848
2016/03/17-15:20:00 21:07:33  +36.9643 11.8980 4.8503
2016/03/17-15:25:00 21:12:34  +37.6421 12.4630 4.6337
2016/03/17-15:30:00 21:17:35  +38.3137 13.0367 4.4331
2016/03/17-15:35:00 21:22:35  +38.9791 13.6189 4.2470
2016/03/17-15:40:00 21:27:36  +39.6383 14.2094 4.0739
2016/03/17-15:45:00 21:32:37  +40.2912 14.8082 3.9126
2016/03/17-15:50:00 21:37:38  +40.9380 15.4151 3.7621
2016/03/17-15:55:00 21:42:39  +41.5786 16.0299 3.6214
2016/03/17-16:00:00 21:47:39  +42.2130 16.6524 3.4896
