#date-time(UTC) LST Az(deg) El(deg) sec(z)
2015/04/22-00:00:00 08:03:57  -78.8970 17.9296 3.2484
2015/04/22-00:05:00 08:08:58  -78.1179 17.0158 3.4172
2015/04/22-00:10:00 08:13:58  -77.3393 16.1046 3.6050
2015/04/22-00:15:00 08:18:59  -76.5607 15.1962 3.8150
2015/04/22-00:20:00 08:24:00  -75.7817 14.2907 4.0512
2015/04/22-00:25:00 08:29:01  -75.0021 13.3884 4.3187
2015/04/22-00:30:00 08:34:02  -74.2214 12.4893 4.6241
2015/04/22-00:35:00 08:39:03  -73.4392 11.5937 4.9759
2015/04/22-00:40:00 08:44:03  -72.6552 10.7018 5.3851

